Model Id,Epochs,Time,Hidden Layer Neurons,Learning Rate,Batch Size,Test Size,Training Loss Min,Validation Loss Min,Training Accuracy Max,Validation Accuracy Max
abuF,39,6.35,"[128, 128, 64]",0.003,256,0.2,0.1897,0.3378,0.9252,0.8845
3jBa,34,6.04,"[128, 128, 128, 32]",0.003,256,0.2,0.1961,0.3785,0.925,0.8722
huHl,40,6.98,"[128, 128, 128, 32]",0.003,256,0.2,0.1674,0.3564,0.934,0.8812
5V6Z,39,6.89,"[128, 128, 128, 32]",0.003,256,0.2,0.1739,0.353,0.9308,0.8778
24fH,38,6.97,"[128, 128, 128, 32]",0.003,256,0.2,0.1767,0.3583,0.9312,0.8748
0Hwf,36,10.48,"[512, 256, 128, 32]",0.001,256,0.2,0.1755,0.3557,0.9303,0.8766
S1iD,43,12.3,"[512, 256, 128, 32]",0.001,256,0.2,0.156,0.3476,0.9402,0.8875
iobU,40,11.18,"[512, 256, 128, 32]",0.001,256,0.2,0.1651,0.3488,0.9351,0.8825
iSEf,38,10.96,"[512, 256, 128, 32]",0.001,256,0.2,0.178,0.3357,0.9309,0.8845
RyaM,41,12.4,"[512, 256, 128, 64, 32]",0.001,256,0.2,0.1534,0.3434,0.9408,0.8823
JHTf,34,10.41,"[512, 256, 128, 64, 32]",0.001,256,0.2,0.1824,0.3291,0.9291,0.8808
JGHr,36,11.23,"[512, 256, 128, 64, 32]",0.001,256,0.2,0.1816,0.3617,0.9281,0.8818
av6p,31,9.48,"[512, 256, 128, 64, 32]",0.001,256,0.2,0.2123,0.3514,0.9158,0.8731
afqQ,67,10.23,"[128, 128, 64]",0.001,256,0.2,0.2025,0.3638,0.9228,0.8757
LAXP,58,9.14,"[128, 128, 64]",0.001,256,0.2,0.2285,0.3381,0.9124,0.8711
CqQH,59,9.2,"[128, 128, 64]",0.001,256,0.2,0.2245,0.3702,0.9125,0.8678
pl64,69,10.49,"[128, 128, 64]",0.001,256,0.2,0.199,0.3619,0.923,0.8708
nXzl,61,10.43,"[128, 128, 128, 32]",0.001,256,0.2,0.1835,0.329,0.9285,0.8805
i3wj,56,9.69,"[128, 128, 128, 32]",0.001,256,0.2,0.1965,0.3523,0.9224,0.8778
tnbI,60,10.07,"[128, 128, 128, 32]",0.001,256,0.2,0.179,0.3412,0.9313,0.8768
cYUZ,43,7.36,"[128, 128, 128, 32]",0.001,256,0.2,0.2285,0.3878,0.9105,0.8626
eN5g,32,9.16,"[512, 256, 128, 32]",0.007,256,0.2,0.2046,0.3742,0.9201,0.8785
Sc8E,31,9.19,"[512, 256, 128, 32]",0.007,256,0.2,0.2284,0.3564,0.9102,0.874
nEsT,36,10.53,"[512, 256, 128, 32]",0.007,256,0.2,0.1973,0.3694,0.9214,0.8729
0MJX,34,10.18,"[512, 256, 128, 32]",0.007,256,0.2,0.2157,0.3664,0.9135,0.8748
SHyM,42,12.58,"[512, 256, 128, 64, 32]",0.007,256,0.2,0.2084,0.35,0.9198,0.8815
r1b6,35,10.62,"[512, 256, 128, 64, 32]",0.007,256,0.2,0.2192,0.3483,0.9156,0.8792
SBCp,29,8.96,"[512, 256, 128, 64, 32]",0.007,256,0.2,0.2326,0.3649,0.9087,0.8717
tWQi,34,10.25,"[512, 256, 128, 64, 32]",0.007,256,0.2,0.2271,0.3841,0.9145,0.8685
LUSy,35,5.98,"[128, 128, 64]",0.007,256,0.2,0.2139,0.3714,0.9174,0.8731
mjrB,34,5.45,"[128, 128, 64]",0.007,256,0.2,0.2259,0.361,0.9112,0.8678
EWby,32,5.02,"[128, 128, 64]",0.007,256,0.2,0.2252,0.358,0.9112,0.8709
kVBC,43,6.77,"[128, 128, 64]",0.007,256,0.2,0.1923,0.3832,0.9238,0.8717
IMwK,29,5.24,"[128, 128, 128, 32]",0.007,256,0.2,0.2292,0.3822,0.9099,0.8668
ki1G,35,5.98,"[128, 128, 128, 32]",0.007,256,0.2,0.2024,0.361,0.9224,0.8703
TyYE,48,7.96,"[128, 128, 128, 32]",0.007,256,0.2,0.1747,0.3484,0.9315,0.8898
2LhL,34,6.31,"[128, 128, 128, 32]",0.007,256,0.2,0.2152,0.352,0.9151,0.8802
B4hg,37,11.1,"[512, 256, 128, 64, 32]",0.002,256,0.2,0.1486,0.3302,0.9422,0.8842
CkVE,40,11.7,"[512, 256, 128, 64, 32]",0.002,256,0.2,0.1367,0.3629,0.9469,0.8825
efCM,34,10.39,"[512, 256, 128, 64, 32]",0.002,256,0.2,0.1681,0.3553,0.9335,0.8829
MFyf,32,9.69,"[512, 256, 128, 64, 32]",0.002,256,0.2,0.1691,0.3652,0.9337,0.8737
SIH9,36,6.41,"[128, 128, 128, 32]",0.002,256,0.2,0.1963,0.3697,0.9221,0.8646
y3zh,43,7.25,"[128, 128, 128, 32]",0.002,256,0.2,0.1749,0.3571,0.9313,0.8845
uM8m,45,8.17,"[128, 128, 128, 32]",0.002,256,0.2,0.1756,0.3404,0.9312,0.8795
7JAN,44,7.8,"[128, 128, 128, 32]",0.002,256,0.2,0.1754,0.3284,0.9313,0.8835
mWnf,34,6.99,"[128, 128, 128, 128, 32]",0.002,256,0.2,0.1834,0.3538,0.9286,0.8768
Y665,37,7.78,"[128, 128, 128, 128, 32]",0.002,256,0.2,0.1785,0.3577,0.93,0.8751
ovuh,28,6.0,"[128, 128, 128, 128, 32]",0.002,256,0.2,0.2198,0.3727,0.9118,0.8735
SMUv,33,6.61,"[128, 128, 128, 128, 32]",0.002,256,0.2,0.2054,0.3555,0.92,0.8751
vJ5W,35,9.25,"[512, 256, 128, 64, 32]",0.002,512,0.2,0.1847,0.3602,0.927,0.8751
t5Zz,36,9.66,"[512, 256, 128, 64, 32]",0.002,512,0.2,0.1701,0.3434,0.9341,0.8817
t77q,31,8.38,"[512, 256, 128, 64, 32]",0.002,512,0.2,0.1889,0.3693,0.9255,0.8763
cQDS,34,9.24,"[512, 256, 128, 64, 32]",0.002,512,0.2,0.1907,0.3601,0.9257,0.8738
kfGU,49,6.62,"[128, 128, 128, 32]",0.002,512,0.2,0.1857,0.3559,0.929,0.8805
GZ8R,38,5.22,"[128, 128, 128, 32]",0.002,512,0.2,0.2276,0.359,0.9107,0.8706
KEBf,52,6.82,"[128, 128, 128, 32]",0.002,512,0.2,0.1876,0.3515,0.9282,0.8732
MFfC,63,7.9,"[128, 128, 128, 32]",0.002,512,0.2,0.163,0.3908,0.9381,0.8732
HdKz,41,6.53,"[128, 128, 128, 128, 32]",0.002,512,0.2,0.2042,0.3608,0.9192,0.8728
efqL,45,7.19,"[128, 128, 128, 128, 32]",0.002,512,0.2,0.1739,0.3425,0.9308,0.8785
kzHx,49,7.69,"[128, 128, 128, 128, 32]",0.002,512,0.2,0.171,0.3452,0.9338,0.8822
a6e7,43,7.41,"[128, 128, 128, 128, 32]",0.002,512,0.2,0.1921,0.3532,0.9261,0.8785
y88R,30,13.1,"[512, 256, 128, 64, 32]",0.002,128,0.2,0.1668,0.3583,0.9343,0.8868
6Bk9,31,13.38,"[512, 256, 128, 64, 32]",0.002,128,0.2,0.1751,0.3293,0.9311,0.8855
cxrB,33,15.0,"[512, 256, 128, 64, 32]",0.002,128,0.2,0.1698,0.3463,0.9345,0.8845
uEcD,19,8.72,"[512, 256, 128, 64, 32]",0.002,128,0.2,0.241,0.4078,0.9039,0.8694
NZiT,36,15.51,"[512, 256, 128, 64, 32]",0.002,128,0.2,0.158,0.3712,0.9401,0.8783
ihXO,31,13.53,"[512, 256, 128, 64, 32]",0.002,128,0.2,0.1759,0.3472,0.9317,0.8802
sxp2,31,12.62,"[512, 256, 128, 32]",0.002,128,0.2,0.1653,0.3488,0.935,0.8851
Vbfw,31,12.88,"[512, 256, 128, 32]",0.002,128,0.2,0.1706,0.3401,0.9339,0.8815
hDIv,28,11.63,"[512, 256, 128, 32]",0.002,128,0.2,0.1678,0.3562,0.9347,0.8785
QgRs,37,9.89,"[128, 128, 128, 32]",0.004,128,0.2,0.1877,0.347,0.9265,0.8797
OEt3,36,10.06,"[128, 128, 128, 32]",0.004,128,0.2,0.1936,0.3702,0.924,0.8742
Dqq7,22,6.3,"[128, 128, 128, 32]",0.004,128,0.2,0.2566,0.4014,0.9,0.8645
CZFr,23,8.56,"[512, 256, 64]",0.004,128,0.2,0.2329,0.3776,0.9081,0.8674
ekP6,29,10.9,"[512, 256, 64]",0.004,128,0.2,0.2057,0.3522,0.9207,0.8862
KOtz,28,10.4,"[512, 256, 64]",0.004,128,0.2,0.2061,0.3654,0.9181,0.8762
uMOe,33,6.25,"[128, 128, 128, 32]",0.004,256,0.2,0.2057,0.3471,0.9171,0.8789
k7bi,41,7.52,"[128, 128, 128, 32]",0.004,256,0.2,0.1663,0.3602,0.9341,0.8786
KP3k,41,7.66,"[128, 128, 128, 32]",0.004,256,0.2,0.1624,0.3497,0.9362,0.8817
ScDe,27,8.2,"[512, 256, 64]",0.004,256,0.2,0.1893,0.3509,0.926,0.8765
vDTu,26,7.88,"[512, 256, 64]",0.004,256,0.2,0.2097,0.3633,0.9188,0.8788
YUnF,30,8.38,"[512, 256, 64]",0.004,256,0.2,0.1893,0.3577,0.9258,0.8751
tmVY,47,8.08,"[128, 128, 128, 32]",0.002,256,0.2,0.1611,0.344,0.9361,0.8788
TMWX,34,7.76,"[256, 256, 128, 32]",0.002,256,0.2,0.173,0.3512,0.931,0.8817
d71w,40,6.77,"[128, 128, 64, 32]",0.002,256,0.2,0.2027,0.3554,0.9198,0.8757
A2GY,46,6.82,"[64, 64, 64, 64]",0.002,256,0.2,0.2451,0.3761,0.9021,0.8623
QVfP,42,7.75,"[128, 128, 128, 32]",0.001,256,0.2,0.2267,0.3625,0.9103,0.8705
70En,39,9.33,"[256, 256, 128, 32]",0.001,256,0.2,0.1839,0.3473,0.9287,0.8826
NG2w,59,10.23,"[128, 128, 64, 32]",0.001,256,0.2,0.2147,0.3743,0.9142,0.8688
RgXc,65,9.53,"[64, 64, 64, 64]",0.001,256,0.2,0.269,0.3589,0.894,0.8674
OLZP,27,8.68,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.1911,0.3589,0.9243,0.8742
jqGX,36,6.29,"[128, 128, 128, 32]",0.002,256,0.2,0.2097,0.3465,0.9177,0.8737
R6an,44,8.49,"[128, 128, 128, 32]",0.002,256,0.2,0.1733,0.3771,0.9317,0.8777
cYVv,99,9.99,[32],0.002,256,0.2,0.4637,0.4931,0.8103,0.7986
58Pc,92,10.55,[128],0.002,256,0.2,0.3341,0.4165,0.8668,0.8402
wMbJ,99,11.06,[128],0.002,256,0.2,0.3337,0.4192,0.8695,0.8468
V4Nr,29,10.0,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.1902,0.3253,0.9258,0.8854
zXkR,26,8.44,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.7514,0.7455,0.6781,0.6828
lRZN,63,17.84,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.2186,0.3571,0.9166,0.872
u3U3,61,17.68,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.0974,0.3487,0.9612,0.8909
jef2,61,10.29,"[128, 128, 128, 32]",0.003,256,0.2,0.1187,0.3409,0.9557,0.8888
BqSm,55,15.89,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.1031,0.3368,0.9613,0.8934
Zr7V,56,9.67,"[128, 128, 128, 32]",0.003,256,0.2,0.1285,0.3458,0.9511,0.894
cIua,47,13.41,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.1268,0.3587,0.9537,0.8857
Trop,56,9.86,"[128, 128, 128, 32]",0.003,256,0.2,0.1295,0.351,0.9506,0.8877
gjJE,58,16.45,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.1011,0.3745,0.9621,0.8905
rrTx,60,24.17,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.1583,0.3418,0.939,0.8858
KSuo,72,29.36,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.1315,0.363,0.9486,0.8903
HX5h,53,17.5,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.1456,0.3569,0.9456,0.8858
9CDL,50,15.11,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.1116,0.3371,0.957,0.892
eHTZ,53,16.91,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.1115,0.3521,0.958,0.8906
LMu3,83,25.06,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.0764,0.3413,0.972,0.894
z1kN,71,20.92,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.0952,0.3395,0.9639,0.898
WSKy,67,19.43,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.0929,0.3773,0.9653,0.8872
eSka,74,21.45,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.0814,0.3503,0.9688,0.8911
JHqk,68,19.57,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.0921,0.3622,0.9643,0.8915
TZGz,100,30.89,"[512, 256, 128, 64, 32]",0.003,256,0.01,0.0645,0.2201,0.9768,0.9477
98JH,87,26.7,"[512, 256, 128, 64, 32]",0.003,256,0.04,0.0742,0.2878,0.9712,0.9085
oPQU,74,21.92,"[512, 256, 128, 64, 32]",0.003,256,0.06999999999999999,0.0946,0.3238,0.9642,0.9112
ODbK,74,21.13,"[512, 256, 128, 64, 32]",0.003,256,0.09999999999999999,0.0852,0.3289,0.9672,0.8935
KaL4,77,22.54,"[512, 256, 128, 64, 32]",0.003,256,0.13,0.0851,0.3425,0.9689,0.8956
snw6,77,21.98,"[512, 256, 128, 64, 32]",0.003,256,0.16,0.079,0.3436,0.9699,0.8994
PZQD,83,22.28,"[512, 256, 128, 64, 32]",0.003,256,0.19,0.0824,0.3246,0.97,0.896
wIQR,85,23.6,"[512, 256, 128, 64, 32]",0.003,256,0.22,0.0802,0.3545,0.9696,0.8913
VFTZ,80,21.52,"[512, 256, 128, 64, 32]",0.003,256,0.25,0.0767,0.3376,0.9717,0.8924
0REA,72,19.12,"[512, 256, 128, 64, 32]",0.003,256,0.28,0.0903,0.3678,0.9658,0.8909
eyY9,80,27.11,"[512, 256, 128, 64, 32]",0.003,256,0.01,0.0826,0.3039,0.9687,0.9231
iZL9,66,19.98,"[512, 256, 128, 64, 32]",0.003,256,0.02,0.1005,0.3252,0.964,0.8985
bwpC,85,25.57,"[512, 256, 128, 64, 32]",0.003,256,0.03,0.0801,0.317,0.9691,0.9026
Np8i,72,22.48,"[512, 256, 128, 64, 32]",0.003,256,0.04,0.0881,0.3064,0.9677,0.9023
Hfzh,70,22.51,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.0948,0.3254,0.9651,0.896
FsJw,73,21.36,"[512, 256, 128, 64, 32]",0.003,256,0.060000000000000005,0.0899,0.3399,0.9665,0.9057
XKcC,77,22.73,"[512, 256, 128, 64, 32]",0.003,256,0.06999999999999999,0.0813,0.2859,0.9688,0.9059
GK67,76,24.01,"[512, 256, 128, 64, 32]",0.003,256,0.08,0.0878,0.3044,0.9672,0.9042
Juq1,74,21.74,"[512, 256, 128, 64, 32]",0.003,256,0.09,0.0874,0.3095,0.9672,0.9169
nRjV,69,19.67,"[512, 256, 128, 64, 32]",0.003,256,0.09999999999999999,0.0946,0.3374,0.9641,0.8975
eg0l,80,24.79,"[512, 256, 128, 64, 32]",0.003,256,0.11,0.0835,0.3328,0.9691,0.899
ggjs,76,22.87,"[512, 256, 128, 64, 32]",0.003,256,0.12,0.079,0.3215,0.9699,0.9033
QOdC,83,24.3,"[512, 256, 128, 64, 32]",0.003,256,0.13,0.0759,0.3377,0.9707,0.8994
RQrg,78,23.02,"[512, 256, 128, 64, 32]",0.003,256,0.14,0.0875,0.3397,0.9677,0.8965
2NFQ,73,22.3,"[512, 256, 128, 64, 32]",0.003,256,0.15000000000000002,0.0944,0.326,0.9652,0.8956
R5TS,81,24.23,"[512, 256, 128, 64, 32]",0.003,256,0.16,0.0814,0.3234,0.9703,0.8975
khDQ,73,21.97,"[512, 256, 128, 64, 32]",0.003,256,0.17,0.0862,0.3587,0.9689,0.891
0dtk,73,22.75,"[512, 256, 128, 64, 32]",0.003,256,0.18000000000000002,0.0926,0.3547,0.9656,0.8959
1xIl,72,21.77,"[512, 256, 128, 64, 32]",0.003,256,0.19,0.0913,0.347,0.9671,0.8928
aVUB,72,21.46,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.0835,0.3361,0.9686,0.8922
Eb4W,82,24.52,"[512, 256, 128, 64, 32]",0.003,256,0.21000000000000002,0.0818,0.3673,0.9697,0.8888
8fSo,85,27.37,"[512, 256, 128, 64, 32]",0.003,256,0.22,0.0874,0.3379,0.9665,0.8962
XNIN,71,22.89,"[512, 256, 128, 64, 32]",0.003,256,0.23,0.095,0.359,0.9652,0.8888
2y1T,65,20.27,"[512, 256, 128, 64, 32]",0.003,256,0.24000000000000002,0.0941,0.3598,0.9639,0.8908
H5BS,76,23.4,"[512, 256, 128, 64, 32]",0.003,256,0.25,0.0887,0.3511,0.968,0.8895
iyg6,79,25.28,"[512, 256, 128, 64, 32]",0.003,256,0.26,0.0801,0.3804,0.9704,0.8841
ZALa,71,21.4,"[512, 256, 128, 64, 32]",0.003,256,0.27,0.0846,0.3547,0.9692,0.888
ixd9,70,21.34,"[512, 256, 128, 64, 32]",0.003,256,0.28,0.092,0.3749,0.9662,0.8856
wput,71,21.67,"[512, 256, 128, 64, 32]",0.003,256,0.29000000000000004,0.0957,0.3805,0.9624,0.8893
27KB,68,23.09,"[512, 256, 128, 64, 32]",0.003,256,0.01,0.0992,0.3652,0.9627,0.8892
selY,77,26.9,"[512, 256, 128, 64, 32]",0.003,256,0.02,0.0856,0.3137,0.9672,0.9092
PKDX,77,25.16,"[512, 256, 128, 64, 32]",0.003,256,0.03,0.0897,0.3209,0.9665,0.9087
CWw6,73,26.48,"[512, 256, 128, 64, 32]",0.003,256,0.04,0.0875,0.3144,0.9673,0.9092
QCB5,73,24.76,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.0911,0.3217,0.9649,0.9015
1J2w,74,24.49,"[512, 256, 128, 64, 32]",0.003,256,0.060000000000000005,0.0821,0.3357,0.9696,0.9021
gcvw,71,25.25,"[512, 256, 128, 64, 32]",0.003,256,0.06999999999999999,0.0983,0.3511,0.9638,0.8945
aENT,71,23.17,"[512, 256, 128, 64, 32]",0.003,256,0.08,0.0957,0.3162,0.9639,0.9054
nvQK,79,25.23,"[512, 256, 128, 64, 32]",0.003,256,0.09,0.0813,0.3381,0.9696,0.894
IBZg,71,23.52,"[512, 256, 128, 64, 32]",0.003,256,0.09999999999999999,0.0866,0.3634,0.9678,0.8994
4FsU,73,25.0,"[512, 256, 128, 64, 32]",0.003,256,0.11,0.0882,0.3292,0.9668,0.8999
V2Hs,73,24.09,"[512, 256, 128, 64, 32]",0.003,256,0.12,0.0875,0.3429,0.9676,0.8985
Bw6f,85,30.16,"[512, 256, 128, 64, 32]",0.003,256,0.13,0.0747,0.3055,0.9722,0.9001
NkBu,77,24.44,"[512, 256, 128, 64, 32]",0.003,256,0.14,0.0884,0.3394,0.9678,0.8987
BVKz,80,27.04,"[512, 256, 128, 64, 32]",0.003,256,0.15000000000000002,0.0793,0.333,0.9712,0.8977
5nAR,69,22.0,"[512, 256, 128, 64, 32]",0.003,256,0.16,0.0901,0.3431,0.9656,0.8965
nXAK,71,22.16,"[512, 256, 128, 64, 32]",0.003,256,0.17,0.0867,0.3606,0.9681,0.8901
ysgB,81,24.42,"[512, 256, 128, 64, 32]",0.003,256,0.18000000000000002,0.0845,0.3474,0.9678,0.8913
A5bo,71,20.56,"[512, 256, 128, 64, 32]",0.003,256,0.19,0.0946,0.3635,0.9657,0.8912
TOUN,78,21.86,"[512, 256, 128, 64, 32]",0.003,256,0.2,0.0814,0.3561,0.9695,0.8965
dF5w,74,20.46,"[512, 256, 128, 64, 32]",0.003,256,0.21000000000000002,0.089,0.3513,0.9667,0.8926
dDwQ,77,24.1,"[512, 256, 128, 64, 32]",0.003,256,0.22,0.0939,0.3549,0.9648,0.8876
E4U9,72,22.38,"[512, 256, 128, 64, 32]",0.003,256,0.23,0.0875,0.3371,0.9685,0.8962
G5KL,71,21.72,"[512, 256, 128, 64, 32]",0.003,256,0.24000000000000002,0.0925,0.3776,0.9657,0.8895
n2P0,69,22.28,"[512, 256, 128, 64, 32]",0.003,256,0.25,0.0983,0.3479,0.9639,0.8969
JchN,75,23.63,"[512, 256, 128, 64, 32]",0.003,256,0.26,0.0873,0.3625,0.9681,0.889
cSGU,74,22.07,"[512, 256, 128, 64, 32]",0.003,256,0.27,0.0845,0.3629,0.9678,0.8915
YPUe,74,21.85,"[512, 256, 128, 64, 32]",0.003,256,0.28,0.0875,0.3591,0.9667,0.89
ARPb,77,24.68,"[512, 256, 128, 64, 32]",0.003,256,0.29000000000000004,0.0824,0.3773,0.9695,0.8884
a4LX,73,25.12,"[512, 256, 128, 64, 32]",0.003,256,0.01,0.091,0.2916,0.966,0.92
9MfE,95,30.46,"[512, 256, 128, 64, 32]",0.003,256,0.02,0.0714,0.2856,0.9733,0.9138
llaz,93,30.52,"[512, 256, 128, 64, 32]",0.003,256,0.03,0.0765,0.2937,0.9729,0.9149
trQ8,68,22.34,"[512, 256, 128, 64, 32]",0.003,256,0.04,0.1004,0.3395,0.9619,0.9015
Wb50,77,24.94,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.0873,0.3047,0.9677,0.9015
bVCz,75,22.46,"[512, 256, 128, 64, 32]",0.003,256,0.060000000000000005,0.0886,0.3148,0.9666,0.9036
fsEW,71,20.83,"[512, 256, 128, 64, 32]",0.003,256,0.06999999999999999,0.1001,0.3144,0.9617,0.9099
dmFn,75,22.88,"[512, 256, 128, 64, 32]",0.003,256,0.08,0.0905,0.3484,0.9671,0.8969
HXuu,72,21.5,"[512, 256, 128, 64, 32]",0.003,256,0.09,0.0805,0.3072,0.9692,0.906
WaLT,78,26.23,"[512, 256, 128, 64, 32]",0.003,256,0.01,0.0834,0.2989,0.969,0.9169
TKo1,78,25.4,"[512, 256, 128, 64, 32]",0.003,256,0.04,0.0831,0.2822,0.9686,0.9162
ZVO8,84,26.29,"[512, 256, 128, 64, 32]",0.003,256,0.06999999999999999,0.0864,0.3157,0.9683,0.909
QKnR,72,24.28,"[512, 256, 128, 64, 32]",0.003,256,0.09999999999999999,0.0903,0.3378,0.9658,0.8994
bRJQ,69,22.42,"[512, 256, 128, 64, 32]",0.003,256,0.13,0.0856,0.3552,0.9671,0.8966
bDTz,77,25.65,"[512, 256, 128, 64, 32]",0.003,256,0.16,0.0864,0.3714,0.9672,0.8892
vc5i,64,21.31,"[512, 256, 128, 64, 32]",0.003,256,0.19,0.1011,0.3669,0.9629,0.8913
rciH,75,24.19,"[512, 256, 128, 64, 32]",0.003,256,0.22,0.1053,0.3566,0.9596,0.8912
htfe,71,21.8,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.093,0.323,0.9642,0.9046
XX2t,85,26.55,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.077,0.3355,0.9709,0.8966
Lb9j,80,24.17,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.0877,0.3351,0.9672,0.9034
0g79,75,23.25,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.084,0.3096,0.9685,0.9083
4qKC,82,26.37,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.082,0.2841,0.9686,0.912
jVo8,81,24.69,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.0826,0.3183,0.9695,0.9034
OHeI,69,20.7,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.0949,0.3679,0.9639,0.896
ptUX,80,23.87,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.081,0.263,0.9694,0.92
Moe8,76,22.83,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.0818,0.2943,0.9688,0.9206
u83a,72,21.98,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.0884,0.3392,0.9671,0.9108
lNFk,84,25.45,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.081,0.3178,0.9702,0.9071
x74y,71,21.85,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.0929,0.359,0.965,0.9022
88O3,69,21.42,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.0873,0.3515,0.9673,0.9083
RR74,85,25.7,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.077,0.307,0.9718,0.912
rE5I,87,26.28,"[512, 256, 128, 64, 32]",0.003,256,0.05,0.0738,0.3016,0.9726,0.9126
